ref_date,napcs_group,napcs_group_name,product,uom,value,vector,coordinate,status,terminated
2023-03,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",141.0,v1230996124,1.118,,
2023-04,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",141.1,v1230996124,1.118,,
2023-05,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",140.8,v1230996124,1.118,,
2023-06,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",139.1,v1230996124,1.118,,
2023-07,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",138.9,v1230996124,1.118,,
2023-08,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",139.4,v1230996124,1.118,,
2023-09,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",138.9,v1230996124,1.118,,
2023-10,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",139.3,v1230996124,1.118,,
2023-11,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",139.8,v1230996124,1.118,,
2023-12,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",141.5,v1230996124,1.118,,
2024-01,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",142.8,v1230996124,1.118,,
2024-02,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",143.6,v1230996124,1.118,,
2024-03,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",144.8,v1230996124,1.118,,
2024-04,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",145.5,v1230996124,1.118,,
2024-05,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",146.7,v1230996124,1.118,,
2024-06,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",147.9,v1230996124,1.118,,
2024-07,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",148.6,v1230996124,1.118,,
2024-08,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",154.0,v1230996124,1.118,,
2024-09,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",156.8,v1230996124,1.118,,
2024-10,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",159.3,v1230996124,1.118,,
2024-11,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",169.3,v1230996124,1.118,,
2024-12,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",170.8,v1230996124,1.118,,
2025-01,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",168.6,v1230996124,1.118,,
2025-02,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",167.4,v1230996124,1.118,,
2025-03,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",173.4,v1230996124,1.118,,
2025-04,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",166.1,v1230996124,1.118,,
2025-05,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",151.9,v1230996124,1.118,,
2025-06,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",151.7,v1230996124,1.118,,
2025-07,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",155.2,v1230996124,1.118,,
2025-08,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",156.7,v1230996124,1.118,,
2025-09,P41,Lumber and other wood products,Hardwood lumber (except tongue and groove and other edge worked lumber) [24111],"Index, 202001=100",150.0,v1230996124,1.118,,
